Sample;Donor;Group;Responder;Shannon;Bray_Curtis;Bacterial_Load;LPS;Flagellin
A1;7023;Control;R;0.96335338;0.84951811;0.188602057;0.2342674;0.22282001
A2;7023;Control;R;1.02975309;0.968581469;1.12997722;2.4228755;0.26922588
A3;7023;Control;R;1.00689353;1.181900421;1.681420723;0.3428571;2.50795411
A4;7023;Probiotics;R;1.10663879;0.769056628;0.946961569;0.6315494;1.54889475
A5;7023;Probiotics;R;1.13301544;1.052895514;0.452028908;0.8686335;0.28097156
A6;7023;Probiotics;R;1.05114594;1.003414902;0.695921248;1.1413888;0.42322958
A7;7024;Control;NR;0.998877644;0.967547336;0.452657303;0.597071;0.18913628
A8;7024;Control;NR;0.933384402;1.040356607;0.456667804;0.9469606;1.09952001
A9;7024;Control;NR;1.067737954;0.992096056;2.090674893;1.4559684;1.71134371
A10;7024;Probiotics;NR;1.074589125;0.81623059;0.482825823;1.1740084;1.26849813
A11;7024;Probiotics;NR;1.124018556;1.07630912;0.242232412;0.996946;0.26288156
A12;7024;Probiotics;NR;1.054869882;0.955865987;0.222397791;1.1956501;0.22960548
A13;7015;Control;R;0.983677181;1.097008744;0.498873223;0.1410041;1.89410137
A14;7015;Control;R;1.028632245;1.067977122;1.566265451;2.511048;0.87713127
A15;7015;Control;R;0.987690575;0.835014135;0.934861326;0.3479479;0.22876735
A16;7015;Probiotics;R;0.858820664;0.862603654;1.624091277;0.844711;9.08507474
A17;7015;Probiotics;R;0.905710864;1.022869912;0.633748541;0.9221172;0.32505028
A18;7015;Probiotics;R;0.923241712;0.802166725;1.114781501;0.5130264;0.27019918
A19;7038;Control;NR;0.863064752;1.043554328;0.633916777;0.7935001;0.60888367
A20;7038;Control;NR;1.104046847;1.124677716;0.768762514;0.2750668;0.16278266
A21;7038;Control;NR;1.032888401;0.831767956;1.597320709;1.9314331;2.22833367
A22;7038;Probiotics;NR;0.874008599;1.267908764;2.776746212;1.0778542;3.69736592
A23;7038;Probiotics;NR;1.037044898;1.043325826;1.253526386;4.0969035;0.19061257
A24;7038;Probiotics;NR;1.047954478;1.093811733;0.603568561;1.4703458;0.05103373
B1;7017;Control;R;1.205933644;1.186391941;0.810075983;NaN;1.35847845
B2;7017;Control;R;0.841814924;0.976900958;1.122386701;NaN;0.53021472
B3;7017;Control;R;0.952251432;0.836707101;1.067537316;NaN;1.11130683
B4;7017;Probiotics;R;1.15294607;0.745995007;1.39794284;NaN;0.6396175
B5;7017;Probiotics;R;1.192029198;0.800256365;2.476180584;NaN;0.27722016
B6;7017;Probiotics;R;1.244339826;0.653259708;7.434708933;NaN;1.50285169
B7;7019;Control;NR;0.99810137;1.13778825;0.604778253;0.6777255;0.96355755
B8;7019;Control;NR;0.973930142;0.862072331;1.327675841;1.090702;1.66660707
B9;7019;Control;NR;1.027968488;1.000139419;1.067545906;1.2315725;0.36983537
B10;7019;Probiotics;NR;0.795392623;1.06086677;0.500724911;0.5325831;13.25998472
B11;7019;Probiotics;NR;0.725979209;1.178051596;0.761907128;1.3768883;21.27891832
B12;7019;Probiotics;NR;0.744331687;1.177965439;1.493888266;7.7226333;31.03310082
B13;7005;Control;R;1.053561999;0.925128408;0.406841143;0.5755225;1.40659101
B14;7005;Control;R;0.961648217;0.963650731;1.135468961;1.9267453;0.6221865
B15;7005;Control;R;0.984789783;1.111220861;1.457689896;0.4977322;0.97122249
B16;7005;Probiotics;R;0.873098114;0.912713816;1.087850806;0.9668565;1.43824891
B17;7005;Probiotics;R;1.061425289;1.013611226;2.729596649;0.4324315;2.56485036
B18;7005;Probiotics;R;1.028872254;1.117067049;5.59490766;0.3878971;1.51120275
B19;7014;Control;NR;1.024861229;1.167266355;2.221112047;0.7631355;0.72605635
B20;7014;Control;NR;0.949856213;1.108843458;0.590700555;1.0699426;1.35552315
B21;7014;Control;NR;1.025282558;0.723890187;0.188187398;1.1669219;0.9184205
B22;7014;Probiotics;NR;1.207606111;0.809526091;4.060462426;4.5612056;2.02757899
B23;7014;Probiotics;NR;1.183384153;0.707395863;2.31022007;3.4083936;2.17269486
B24;7014;Probiotics;NR;1.200498439;0.727218157;4.86988957;7.3272103;8.22805342