outcome;Shannon;Bray_Curtis;Bacterial_Load;LPS;Flagellin;L_Reuteri;L_Plantarum;B_Animalis
R;1.10663879;0.769056628;0.946961569;0.6315494;1.54889475;3.086684;6.0915363;2.8452234
R;1.13301544;1.052895514;0.452028908;0.8686335;0.28097156;1.6405863;3.3092798;0.9180962
R;1.05114594;1.003414902;0.695921248;1.1413888;0.42322958;NA;2.6011995;0.5094352
NR;1.074589125;0.81623059;0.482825823;1.1740084;1.26849813;0.6230758;2.1634218;0.8213498
NR;1.124018556;1.07630912;0.242232412;0.996946;0.26288156;0.3963215;3.3785339;0.5082684
NR;1.054869882;0.955865987;0.222397791;1.1956501;0.22960548;0.5324193;4.3269662;0.7510619
R;0.858820664;0.862603654;1.624091277;0.844711;9.08507474;4.0499868;1.4914307;1.9867868
R;0.905710864;1.022869912;0.633748541;0.9221172;0.32505028;2.7101542;1.1626732;0.8289135
R;0.923241712;0.802166725;1.114781501;0.5130264;0.27019918;6.7769205;2.5772271;2.5011959
NR;0.874008599;1.267908764;2.776746212;1.0778542;3.69736592;2.0329861;2.4805037;0.7778919
NR;1.037044898;1.043325826;1.253526386;4.0969035;0.19061257;50.0582735;25.1345197;2.4086995
NR;1.047954478;1.093811733;0.603568561;1.4703458;0.05103373;8.2672245;3.7373379;1.037244
R;1.15294607;0.745995007;1.39794284;NaN;0.6396175;NA;1.9457532;0.3361212
R;1.192029198;0.800256365;2.476180584;NaN;0.27722016;NA;0.929197;0.2956532
R;1.244339826;0.653259708;7.434708933;NaN;1.50285169;NA;0.9005917;0.4813809
NR;0.795392623;1.06086677;0.500724911;0.5325831;13.25998472;NA;NA;0.3762771
NR;0.725979209;1.178051596;0.761907128;1.3768883;21.27891832;NA;NA;0.1364731
NR;0.744331687;1.177965439;1.493888266;7.7226333;31.03310082;NA;NA;0.4887927
R;0.873098114;0.912713816;1.087850806;0.9668565;1.43824891;NA;1.2728056;0.245421
R;1.061425289;1.013611226;2.729596649;0.4324315;2.56485036;NA;4.1401899;1.334785
R;1.028872254;1.117067049;5.59490766;0.3878971;1.51120275;NA;0.7720399;0.5124128
NR;1.207606111;0.809526091;4.060462426;4.5612056;2.02757899;NA;1.2315408;0.4060597
NR;1.183384153;0.707395863;2.31022007;3.4083936;2.17269486;NA;2.9467877;0.5954136
NR;1.200498439;0.727218157;4.86988957;7.3272103;8.22805342;NA;1.383827;1.784983