Time,Label,7005,7014,7015,7017,7019,7023,7024,7038
0,Control,0.978407331,1.008384161,NA,1.01125412,1.001836015,0.999159978,0.992433141,1.004514334
0,Control,1.035847887,0.995072045,1.002586185,0.91592145,0.993911812,1.010167831,1.012671933,0.971850279
0,Control,0.985744782,0.996543794,0.997413815,1.072824431,1.004252173,0.990672191,0.994894927,1.023635387
0,Probiotics,1.113212486,1.218380586,1.032123796,1.056616704,0.893444189,1.019376891,1.015130556,0.790092654
0,Probiotics,1.095568657,1.248662644,1.031736022,1.068638373,0.905620138,1.006017485,0.994866251,0.871671559
0,Probiotics,1.101326788,1.261216568,0.968694856,1.020852491,0.900423637,1.023496284,0.988500636,0.927000275
3,Control,0.951482635,1.030326142,1.048221591,1.036588555,1.012873959,0.950691912,0.968862624,1.105954515
3,Control,1.030903388,0.967567892,0.988524764,1.002806009,1.046784139,0.97878011,0.972454587,1.083348342
3,Control,1.017613976,1.002105966,0.963253645,0.960605436,0.940341903,1.070527978,1.058682789,0.810697144
3,Probiotics,1.072854357,0.98572925,1.013121714,1.112414361,0.836193116,0.994373621,1.000141216,0.795634484
3,Probiotics,0.977577234,1.033746401,1.009640245,0.828890615,1.088425658,1.016421796,1.026175449,1.105812023
3,Probiotics,0.949568409,0.980524349,0.97723804,1.058695025,1.075381227,0.989204584,0.973683334,1.098553493
4,Control,0.962739322,1.032579189,0.996785948,0.88796687,0.999592339,0.960002473,0.893378617,1.025456826
4,Control,1.034776102,0.900525206,1.019516419,1.169007637,1.056861503,1.04327957,1.030692899,0.983030969
4,Control,1.002484576,1.066895605,0.983697633,0.943025493,0.943546158,0.996717958,1.075928485,0.991512205
4,Probiotics,1.05497685,1.033756427,0.963411894,1.102947067,0.922290634,1.030807609,1.055685997,0.773171579
4,Probiotics,1.011327431,1.131416487,1.001624934,0.756433962,1.061304219,1.040771379,0.952156052,0.908009873
4,Probiotics,0.97717078,1.137576577,1.008904676,0.852347018,1.068771396,0.860969625,NA,0.947897105
5,Control,0.954081557,1.075241403,1.017520248,1.289011767,1.012939279,1.059674845,0.970204569,0.985308435
5,Control,1.04758385,0.89037833,1.01086082,0.803339639,1.055900493,0.952360475,0.904849437,1.014691565
5,Control,0.998334594,1.034380267,0.971618932,0.907648593,0.931160227,0.987964681,1.124945993,NA
5,Probiotics,1.028131633,1.073717009,0.950766813,1.110326035,0.920229315,1.12817773,1.10858402,0.809028421
5,Probiotics,0.856358923,1.165111772,1.002147379,0.736988079,1.103190516,1.055504762,1.042600692,0.859402256
5,Probiotics,0.972912309,1.099161816,1.037961926,0.918348571,1.051188846,1.021839922,0.9838644,0.837064024
7,Control,0.978995406,0.9623241,0.955839527,0.865637548,0.984518501,0.885086107,1.101339243,1.114980462
7,Control,1.026593381,1.012456041,1.01794373,1.083763369,1.04295624,1.006184465,0.9217475,0.868668322
7,Control,0.994411213,1.025219859,1.026216743,1.050599083,0.972525259,1.108729428,0.976913257,1.016351216
7,Probiotics,0.893752327,1.269561501,0.777133312,1.039894931,0.813460031,NA,1.100160435,0.727626823
7,Probiotics,0.969640315,1.171000586,0.832672446,1.037506213,0.832993678,1.27482313,1.237638036,0.716536298
7,Probiotics,1.057698581,1.391149773,NA,1.126320987,0.791854103,0.99184216,1.160085636,0.815039431
9,Control,1.024640314,1.018609511,0.986405388,0.965489677,0.998693627,0.92139825,0.924697647,0.905419543
9,Control,0.951931957,0.883041481,1.053290333,1.013457633,1.009125315,1.064623,1.026956348,1.031705819
9,Control,1.023427729,1.098349008,0.960304279,1.02105269,0.992181058,1.01397875,1.048346005,1.062874638
9,Probiotics,0.890876124,1.058921174,0.887621838,0.989666223,0.850410109,1.12201204,0.957564867,0.898710599
9,Probiotics,0.988064692,1.09791661,0.948129021,1.201297856,0.830433496,1.14314004,0.975354047,0.998425073
9,Probiotics,0.995773754,1.166911128,0.998510312,1.324187921,0.859616011,1.0896241,1.011050366,0.978724719
10,Control,1.053561999,1.024861229,0.983677181,1.205933644,0.99810137,0.96335338,0.998877644,0.863064752
10,Control,0.961648217,0.949856213,1.028632245,0.841814924,0.973930142,1.02975309,0.933384402,1.104046847
10,Control,0.984789783,1.025282558,0.987690575,0.952251432,1.027968488,1.00689353,1.067737954,1.032888401
10,Probiotics,0.873098114,1.207606111,0.858820664,1.15294607,0.795392623,1.10663879,1.074589125,0.874008599
10,Probiotics,1.061425289,1.183384153,0.905710864,1.192029198,0.725979209,1.13301544,1.124018556,1.037044898
10,Probiotics,1.028872254,1.200498439,0.923241712,1.244339826,0.744331687,1.05114594,1.054869882,1.047954478
12,Control,0.99929489,1.061123902,0.965334865,0.963292048,0.970097578,0.84385585,1.01812685,0.798679131
12,Control,0.982888133,0.925643502,1.030768718,1.039306911,1.021181777,1.07260735,1.00752353,1.106476125
12,Control,1.017816978,1.013232596,1.003896417,0.997401041,1.008720645,1.0835368,0.97434962,1.094844744
12,Probiotics,0.92441407,1.107359935,0.909229974,1.054354723,0.790493128,1.09638089,1.026226898,0.871861495
12,Probiotics,1.021982093,1.263867924,0.928166885,1.028819581,0.830259219,1.23899844,1.028462596,0.866732452
12,Probiotics,1.052027081,1.204968773,0.916003064,1.268167722,0.694971094,1.23382052,1.049443981,0.932090422